locale,status,label_key,json_file,translated_value,original_en_value,en_length,translated_length
pl,translated,topTooltipText,airdrop.json,"Zdobądź Airdrop Tari, zbierając klejnoty. Im więcej klejnotów zdobędziesz, tym większy będzie twój airdrop.","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,107
pl,translated,topTooltipTitle,airdrop.json,Nagrody Testnet,Testnet Rewards,15,15
pl,translated,claimModalFinePrint,airdrop.json,"<strong>Uwaga:</strong> odbieranie klejnotów włącza analitykę, abyśmy mogli ulepszyć Universe",<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,93
pl,translated,inviteFriendsText,airdrop.json,Skopiuj link i udostępnij go,Copy link and share it,22,28
pl,extraneous,connected-to-tari-network,settings.json,,,,
pl,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
pl,extraneous,not-connected-to-tari-network,settings.json,,,,
cn,translated,topTooltipText,airdrop.json,通过收集宝石获得 Tari 空投。你赚取的宝石越多，空投就越大。,"Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,32
cn,translated,topTooltipTitle,airdrop.json,测试网奖励,Testnet Rewards,15,5
cn,translated,claimModalFinePrint,airdrop.json,<strong>请注意：</strong> 领取宝石会开启分析功能，以便我们改进 Universe,<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,49
cn,translated,inviteFriendsText,airdrop.json,复制链接并分享,Copy link and share it,22,7
cn,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
ja,translated,topTooltipText,airdrop.json,ジェムを集めてTariのエアドロップを獲得しましょう。ジェムを多く集めるほど、エアドロップが大きくなります。,"Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,54
ja,translated,topTooltipTitle,airdrop.json,テストネット報酬,Testnet Rewards,15,8
ja,translated,claimModalFinePrint,airdrop.json,<strong>ご注意ください:</strong> ジェムを請求すると、Universeを改善するために分析が有効になります,<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,62
ja,translated,inviteFriendsText,airdrop.json,リンクをコピーして共有する,Copy link and share it,22,13
ja,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
ru,translated,topTooltipText,airdrop.json,"Получите Tari Airdrop, собирая драгоценные камни. Чем больше камней вы заработаете, тем больше будет ваш airdrop.","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,113
ru,translated,topTooltipTitle,airdrop.json,Награды Testnet,Testnet Rewards,15,15
ru,translated,claimModalFinePrint,airdrop.json,"<strong>Обратите внимание:</strong> получение камней включает аналитику, чтобы мы могли улучшить Universe",<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,105
ru,translated,inviteFriendsText,airdrop.json,Скопируйте ссылку и поделитесь ею,Copy link and share it,22,33
ru,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
af,translated,topTooltipText,airdrop.json,"Kry 'n Tari Airdrop deur edelstene in te samel. Hoe meer edelstene jy verdien, hoe groter is jou airdrop.","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,105
af,translated,topTooltipTitle,airdrop.json,Testnet Belonings,Testnet Rewards,15,17
af,translated,claimModalFinePrint,airdrop.json,<strong>Neem asseblief kennis:</strong> die eis van edelstene skakel analise aan sodat ons Universe kan verbeter,<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,112
af,translated,inviteFriendsText,airdrop.json,Kopieer skakel en deel dit,Copy link and share it,22,26
af,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
hi,translated,topTooltipText,airdrop.json,"रत्नों को इकट्ठा करके एक Tari Airdrop प्राप्त करें। जितने अधिक रत्न आप कमाते हैं, आपका airdrop उतना ही बड़ा होगा।","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,113
hi,translated,topTooltipTitle,airdrop.json,टेस्टनेट पुरस्कार,Testnet Rewards,15,17
hi,translated,claimModalFinePrint,airdrop.json,<strong>कृपया ध्यान दें:</strong> रत्नों का दावा करने से विश्लेषण चालू हो जाता है ताकि हम Universe को बेहतर बना सकें,<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,116
hi,translated,inviteFriendsText,airdrop.json,लिंक कॉपी करें और साझा करें,Copy link and share it,22,27
hi,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
ko,translated,topTooltipText,airdrop.json,보석을 모아 Tari 에어드롭을 받으세요. 더 많은 보석을 모을수록 더 큰 에어드롭을 받습니다.,"Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,53
ko,translated,topTooltipTitle,airdrop.json,테스트넷 보상,Testnet Rewards,15,7
ko,translated,claimModalFinePrint,airdrop.json,<strong>참고:</strong> 보석을 수령하면 분석 기능이 활성화되어 Universe를 개선할 수 있습니다,<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,63
ko,translated,inviteFriendsText,airdrop.json,링크를 복사하여 공유하세요,Copy link and share it,22,14
ko,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
id,translated,topTooltipText,airdrop.json,"Dapatkan Airdrop Tari dengan mengumpulkan permata. Semakin banyak permata yang Anda kumpulkan, semakin besar airdrop Anda.","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,122
id,translated,topTooltipTitle,airdrop.json,Hadiah Testnet,Testnet Rewards,15,14
id,translated,claimModalFinePrint,airdrop.json,<strong>Harap diperhatikan:</strong> mengklaim permata mengaktifkan analitik sehingga kami dapat meningkatkan Universe,<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,118
id,translated,inviteFriendsText,airdrop.json,Salin tautan dan bagikan,Copy link and share it,22,24
id,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
tr,translated,topTooltipText,airdrop.json,"Mücevher toplayarak bir Tari Airdrop kazanın. Ne kadar çok mücevher kazanırsanız, airdrop'unuz o kadar büyük olur.","Get a Tari Airdrop by collecting gems. The more gems you earn, the larger your airdrop.",87,114
tr,translated,topTooltipTitle,airdrop.json,Testnet Ödülleri,Testnet Rewards,15,16
tr,translated,claimModalFinePrint,airdrop.json,"<strong>Lütfen dikkat:</strong> mücevher talep etmek, Universe'i geliştirebilmemiz için analitiği etkinleştirir",<strong>Please note:</strong> claiming gems turns on analytics so we can improve Universe,89,111
tr,translated,inviteFriendsText,airdrop.json,Bağlantıyı kopyalayın ve paylaşın,Copy link and share it,22,33
tr,extraneous,mining-button-text.pause-mining,mining-view.json,,,,
